OID_,CID,avg_rain,water,vegetation,slope,rugged,productivity,geology,elevation,min_temp,aspect,rabbit,pig,temp_diff,lantana,land_clear,horse,habitat,grazing,goat,fox_den,flood,drought,dog,inapp_fire,cat_den,lat,long
743,0,123.723999,1018.099976,2,4.43397,419.8559875,0.585244,3,523.7449951,10.1410999,189.7180023,0.354199,0.403001,0.469397,0.542133,0,0.597277,0.814271,0,0.106392,0.219873,2,1,0.728081,0,0.158286,-3485381.986,1934970.523
744,0,79.2549973,2416.429932,5,7.3552198,548.6630249,0.504161,1,655.9910278,10.9973001,11.2439003,0.482218,0.316736,0.213722,0.543723,0,0.42588,0.849818,0,0.100021,0.202676,1,1,0.722404,1,0.179024,-3182902.707,1965909.075
745,0,71.9541016,2422.649902,2,3.6790199,207.9589996,0.503435,4,413.0610046,10.6239996,311.3059998,0.494742,0.353976,0.255572,0.520941,0,0.586425,0.814294,0,0.300711,0.21333,2,0,0.765269,1,0.207504,-3708317.369,1778460.867
746,0,66.8002014,2427.080078,3,4.1903601,206.8509979,0.451787,4,353.5369873,10.6135998,106.9860001,0.470236,0.290956,0.304981,0.526648,0,0.677595,0.919494,0,0.19525,0.305458,2,1,0.739186,1,0.219682,-3703667.391,1763403.741
747,0,66.7789993,1428.369995,3,6.9906998,309.6059875,0.387778,2,674.901001,8.9675798,32.0676003,0.499789,0.397812,0.387947,0.275494,0,0.327065,0.570857,2,0.14929,0.434777,1,1,0.570468,0,0.224311,-3319273.271,1900289.717
748,0,92.6406021,1441.709961,1,4.53933,625.6140137,0.549565,3,1030.670044,8.7302999,30.4330997,0.445819,0.569794,0.671882,0.0790728,0,0.608613,0.899356,0,0.198489,0.320848,5,2,0.741567,1,0.200586,-3567956.84,1860208.909
749,0,80.6166992,0,3,7.8074999,606.3079834,0.468434,4,498.0639954,8.8475599,271.7940063,0.375445,0.332283,0.655903,0.211223,0,0.378333,0.865883,0,0.0649043,0.364377,2,0,0.652716,1,0.208966,-3542214.737,1885042.46
750,0,90.535202,2418.860107,2,2.3308001,235.5839996,0.482353,4,222.4470062,12.9631004,4.2158699,0.153292,0.141624,0.488417,0.520051,0,0.548364,0.821999,1,0.0403792,0.304741,4,0,0.54979,0,0.186036,-3283789.272,2001478.631
751,0,79.8610992,1006.119995,4,8.9190102,527.4310303,0.485584,4,347.5799866,9.7217503,73.9722977,0.38406,0.492759,0.64225,0.491406,0,0.620602,0.678382,0,0.113391,0.248449,3,1,0.72605,1,0.176287,-3517451.373,1900460.082
752,0,81.8861008,1000.039978,4,8.7550402,448.7600098,0.480348,3,537.6359863,9.5548296,162.7850037,0.438187,0.579198,0.568959,0.32474,0,0.664065,0.908787,0,0.249673,0.204522,1,3,0.740605,0,0.193405,-3587544.516,1834268.592
753,0,96.5156021,0,3,0.735388,44.2330017,0.462245,4,66.8895035,12.9856005,28.2150993,0.337678,0.286515,0.0464898,0.659077,0,0.599554,0.449469,1,0.0804143,0.463097,2,0,0.63607,0,0.191737,-3411753.007,1984224.529
754,0,73.5485992,1005.570007,4,4.4194398,337.3479919,0.491272,4,1125.910034,7.4291301,327.0130005,0.478801,0.619194,0.68461,0.028145,0,0.459458,0.849716,0,0.120299,0.701215,1,2,0.797155,1,0.217737,-3516734.842,1871097.828
755,0,88.4208984,1054.660034,2,9.6388102,692.2210083,0.496103,1,1134.689941,8.1222696,275.6730042,0.460361,0.525685,0.536251,0.0136859,0,0.663056,0.561458,1,0.203943,0.481732,1,0,0.689088,0,0.20015,-3603737.258,1815263.106
