OID_,CID,aspect,elevation,geology,min_temp,productivity,rugged,slope,vegetation,water,avg_rain,inapp_fire,rabbit,pig,temp_diff,lantana,land_clear,horse,habitat,grazing,goat,fox_den,flood,drought,dog,cat_den,lat,long
5672,0,51.8732986,652.6209717,1,5.6388798,0.441591,224.0350037,0.23011,5,0,57.1269989,0,0.564521,0.298674,0.127432,0,1,0.311194,0.616828,2,0.086051,3.1809199,0,0,0.415871,0.229953,-4142048.454,1385986.918
5673,0,15.6578999,601.367981,1,8.8043699,0.436388,301.1199951,3.49576,5,1415.01001,66.1463013,0,0.416953,0.652452,0.617229,0.079452,0,0.289364,0.795686,0,0.272659,0.383279,2,3,0.570852,0.214312,-3509094.629,1607147.364
5674,0,6.0364399,522.5250244,2,10.4544001,0.343749,81.8195038,0.77713,5,2000.410034,58.3011017,0,0.474259,0.410477,0.424384,0.21555,0,0.428189,0.870484,0,0.24401,0.37827,0,0,0.490701,0.238736,-3288038.766,1834939.134
5675,0,185.9320068,600.0319824,4,8.6351004,0.411645,185.2359924,1.31442,5,0,61.2066002,0,0.446896,0.371205,0.298873,0.0549659,0,0.188727,0.647682,1,0.0858347,0.590467,0,0,0.391742,0.240325,-3412862.616,1760021.966
5676,0,107.4769974,40.0376015,1,13.1733999,0.466992,10.9221001,0.123638,3,0,86.6113968,0,0.328211,0.257248,0.519413,0.566163,1,0.608584,0.55354,1,0.0346487,0.296883,3,0,0.596501,0.195879,-3329627.419,2007105.678
5677,0,114.2509995,479.54599,4,9.5647898,0.482675,222.5720062,4.3782601,5,1008.580017,94.6337967,0,0.456765,0.357539,0.49474,0.221781,0,0.50852,0.93188,0,0.172263,1.93207,2,3,0.689653,0.193488,-3800026.417,1699793.88
5678,0,216.4440002,1194.52002,1,7.7048998,0.57329,500.2640076,9.90063,1,2454.979981,117.0049973,0,0.46415,0.240286,0.387797,0,0,0.551134,0.547866,0,0.230395,0.413979,3,3,0.501809,0.166726,-3633994.781,1817393.279
5679,0,262.5289917,402.7219849,4,11.4645004,0.504492,68.8483963,1.06982,3,1000.039978,85.2133026,0,0.320542,0.299995,0.264673,0.573065,1,0.602573,0.632787,2,0.0484328,0.650554,1,0,0.595129,0.195064,-3242294.339,1987088.952
5680,0,213.8179932,47.7416,4,13.1359997,0.4118,60.7258987,0.44583,3,0,69.2916031,0,0.319433,0.301923,0.121343,0.490116,0,0.505151,0.559555,0,0.0639929,0.249108,3,1,0.58742,0.205338,-3194601.035,2021183.018
5681,0,194.1829987,458.3330078,4,11.2222996,0.332959,159.6390076,3.12906,5,2002.930054,54.4494019,0,0.469373,0.642945,0.26349,0.236868,0,0.516397,0.75764,1,0.215235,0.331787,2,0,0.625925,0.239329,-3235106.615,1864456.592
5682,0,218.6150055,73.8524017,1,11.8690996,0.524194,66.1810989,0.711956,3,0,97.2391968,0,0.44246,0.406184,0.298478,0.670114,1,0.595966,0.43283,2,0.0526541,0.324415,1,3,0.721915,0.18758,-3664582.001,1834895.841
5683,0,204.8470001,300.2550049,2,8.0508204,0.482628,285.6860046,3.56896,3,0,79.2229996,0,0.562043,0.368343,0.0123047,0,0,0.150433,0.705174,2,0.215838,0.478779,1,0,0.489648,0.219333,-4031714.758,1381278.017
5684,0,109.3639984,349.6319885,2,8.1640501,0.519081,299.2690125,6.16434,5,1418.319946,78.2890015,0,0.397585,0.21066,0.244918,0.0935763,0,0.380186,0.849075,0,0.29619,0.428236,1,0,0.654234,0.207556,-4091345.412,1591389.35
